                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.94147,                 1.3047,                0.61283,                  1.058,                0.86111,                0.85437,                0.88619,                0.48814,                0.84154,                0.83495,                0.87686,                0.47916,                 1.5174,                 1.7577,                0.92904,                 1.4622,              0.0018277,              0.0018277,              0.0018277
                     90,                0.96161,                 1.2641,                0.61087,                 1.0532,                0.88132,                 0.7931,                0.86534,                0.53699,                0.85985,                0.77436,                0.85082,                0.50841,                 1.3997,                 1.9066,                0.84259,                 1.4344,              0.0018258,              0.0018258,              0.0018258
                     91,                0.95062,                 1.3291,                0.60812,                 1.0454,                0.79626,                0.83477,                  0.856,                0.50464,                0.87262,                0.75728,                0.84584,                0.50742,                 1.4318,                 1.7357,                0.86633,                 1.3958,              0.0018238,              0.0018238,              0.0018238
                     92,                0.92319,                 1.2527,                0.59396,                 1.0394,                0.81347,                0.84684,                0.87886,                0.53881,                0.80154,                0.83495,                0.86565,                0.52949,                 1.4094,                 1.6872,                0.82649,                 1.3649,              0.0018218,              0.0018218,              0.0018218
                     93,                0.89149,                 1.2267,                0.58344,                 1.0273,                0.89843,                0.77293,                0.84964,                0.53214,                0.88714,                0.76322,                0.82586,                0.50839,                 1.3965,                 1.7779,                0.88608,                 1.3582,              0.0018198,              0.0018198,              0.0018198
                     94,                0.92334,                 1.2495,                0.59696,                 1.0346,                0.80905,                0.76699,                    0.8,                  0.498,                 0.8585,                0.70689,                0.77843,                 0.4705,                 1.4364,                 1.9791,                0.99919,                 1.4083,              0.0018178,              0.0018178,              0.0018178
                     95,                0.90405,                 1.2378,                0.58884,                 1.0366,                0.86061,                0.74757,                0.82596,                0.50658,                0.85336,                0.76699,                0.81216,                0.47398,                 1.4222,                 1.7058,                0.96049,                 1.4256,              0.0018159,              0.0018159,              0.0018159
                     96,                0.90373,                 1.2402,                0.59111,                 1.0424,                0.83836,                0.84466,                0.87183,                0.50319,                0.81758,                0.82675,                0.84307,                0.51828,                 1.5011,                 1.6827,                0.91831,                 1.4769,              0.0018139,              0.0018139,              0.0018139
                     97,                0.87822,                 1.1684,                0.56278,                 1.0257,                0.85278,                0.84358,                 0.8841,                0.55807,                0.88111,                0.81553,                 0.8654,                0.51393,                 1.3907,                 1.7193,                 0.8576,                 1.3894,              0.0018119,              0.0018119,              0.0018119
                     98,                0.91302,                 1.2235,                0.58391,                 1.0343,                0.84792,                0.81553,                0.86742,                0.54988,                0.86294,                0.79465,                 0.8536,                0.49181,                 1.3843,                 1.7388,                0.88367,                  1.353,              0.0018099,              0.0018099,              0.0018099
                     99,                0.92459,                 1.2129,                0.60542,                 1.0369,                0.83749,                0.75728,                0.81701,                0.49666,                0.83749,                0.75728,                0.78987,                0.47396,                 1.5482,                  1.983,                 1.0241,                 1.4285,              0.0018079,              0.0018079,              0.0018079
